DROSOPHILA_PERCNOSOMA	DROSOPHILA_ATROSCUTELLATA	Drosophila_percnosoma.nanopore.rm.fna
DROSOPHILA_NEUTRALIS	DROSOPHILA_ATROSCUTELLATA	Drosophila_neutralis.nanopore.rm.fna
DROSOPHILA_SORDIDAPEX	DROSOPHILA_ATROSCUTELLATA	Drosophila_sordidapex.nanopore.rm.fna
DROSOPHILA_CONFORMIS	DROSOPHILA_ATROSCUTELLATA	Drosophila_conformis.nanopore.rm.fna
DROSOPHILA_COGNATA	DROSOPHILA_TANYTHRIX	Drosophila_cognata.nanopore.rm.fna
DROSOPHILA_YOONI	DROSOPHILA_TANYTHRIX	Drosophila_yooni.nanopore.rm.fna
DROSOPHILA_INFUSCATA	DROSOPHILA_MIMICA	Drosophila_infuscata.nanopore.rm.fna
DROSOPHILA_KAMBYSELLISI	DROSOPHILA_MIMICA	Drosophila_kambysellisi.nanopore.rm.fna
DROSOPHILA_PARANAENSIS	DROSOPHILA_REPLETA	Drosophila_paranaensis.nanopore.rm.fna
DROSOPHILA_FORMOSANA	DROSOPHILA_IMMIGRANS	Drosophila_formosana.nanopore.rm.fna
DROSOPHILA_USTULATA	DROSOPHILA_IMMIGRANS	Drosophila_ustulata.nanopore.rm.fna
DROSOPHILA_VALLISMAIA	DROSOPHILA_MERINA	Drosophila_vallismaia.nanopore.rm.fna
DROSOPHILA_PROSALTANS	DROSOPHILA_AUSTROSALTANS	Drosophila_prosaltans.GCA_018151275.1.rm.fna
DROSOPHILA_TESTACEA	DROSOPHILA_NEOTESTACEA	Drosophila_testacea.nanopore.rm.fna
SCAPTOMYZA_MONTANA	SCAPTOMYZA_FLAVA	Scaptomyza_montana.GCA_018904305.1.rm.fna
